"id","glytoucan","taxon","resource","resource_id"
"13","G86477KT","58860","glycosciences.de","13"
"13","G86477KT","4682","glycosciences.de","13"
"13","G86477KT","3888","glycosciences.de","13"
"14","G88999KO","4682","glycosciences.de","14"
"14","G88999KO","4605","glycosciences.de","14"
"14","G88999KO","3562","glycosciences.de","14"
"15","G02028OM","4682","glycosciences.de","15"
"15","G02028OM","3916","glycosciences.de","15"
"16","G26044ZH","58860","glycosciences.de","16"
"16","G26044ZH","4682","glycosciences.de","16"
"19","G52858EC","3916","glycosciences.de","19"
"19","G52858EC","3888","glycosciences.de","19"
"20","G20066VJ","112509","glycosciences.de","20"
"20","G20066VJ","4577","glycosciences.de","20"
"20","G20066VJ","4087","glycosciences.de","20"
"20","G20066VJ","4081","glycosciences.de","20"
"20","G20066VJ","4006","glycosciences.de","20"
"20","G20066VJ","3660","glycosciences.de","20"
"20","G20066VJ","3659","glycosciences.de","20"
"21","G51079OZ","4932","glycosciences.de","21"
"24","G53406WP","4932","glycosciences.de","24"
"25","G33202JT","4932","glycosciences.de","25"
"27","G39335SQ","4932","glycosciences.de","27"
"28","G25268QT","10114","glycosciences.de","28"
"28","G25268QT","10090","glycosciences.de","28"
"28","G25268QT","9606","glycosciences.de","28"
"29","G77495MG","10114","glycosciences.de","29"
"29","G77495MG","9606","glycosciences.de","29"
"45","G45900FL","3847","glycosciences.de","47"
"45","G45900FL","3708","glycosciences.de","47"
"46","G63563UN","3847","glycosciences.de","48"
"47","G67969CT","93934","glycosciences.de","49"
"47","G67969CT","10114","glycosciences.de","49"
"47","G67969CT","10090","glycosciences.de","49"
"47","G67969CT","9940","glycosciences.de","49"
"47","G67969CT","9913","glycosciences.de","49"
"47","G67969CT","9823","glycosciences.de","49"
"47","G67969CT","9796","glycosciences.de","49"
"47","G67969CT","9615","glycosciences.de","49"
"47","G67969CT","9606","glycosciences.de","49"
"47","G67969CT","9031","glycosciences.de","49"
"48","G00051MO","10141","glycosciences.de","50"
"48","G00051MO","10114","glycosciences.de","50"
"48","G00051MO","10090","glycosciences.de","50"
"48","G00051MO","10029","glycosciences.de","50"
"48","G00051MO","9986","glycosciences.de","50"
"48","G00051MO","9606","glycosciences.de","50"
"48","G00051MO","9534","glycosciences.de","50"
"48","G00051MO","9031","glycosciences.de","50"
"48","G00051MO","8638","glycosciences.de","50"
"49","G54397YE","4113","glycosciences.de","51"
"50","G63417TV","4081","glycosciences.de","52"
"50","G63417TV","3847","glycosciences.de","52"
"50","G63417TV","3750","glycosciences.de","52"
"50","G63417TV","3659","glycosciences.de","52"
"50","G63417TV","3493","glycosciences.de","52"
"50","G63417TV","2706","glycosciences.de","52"
"51","G81983KG","10114","glycosciences.de","53"
"51","G81983KG","10090","glycosciences.de","53"
"52","G10712FZ","10090","glycosciences.de","54"
"53","G06904KN","3650","glycosciences.de","55"
"57","G93723GS","3898","glycosciences.de","62"
"58","G42872DK","3898","glycosciences.de","63"
"59","G30041HW","46347","glycosciences.de","64"
"59","G30041HW","3898","glycosciences.de","64"
"60","G26080VZ","3898","glycosciences.de","65"
"59","G30041HW","3898","glycosciences.de","65"
"62","G97690MS","5110","glycosciences.de","68"
"62","G97690MS","4701","glycosciences.de","68"
"62","G97690MS","4520","glycosciences.de","68"
"63","G60726JL","4479","glycosciences.de","70"
"69","G05187DJ","10114","glycosciences.de","80"
"69","G05187DJ","9823","glycosciences.de","80"
"69","G05187DJ","9606","glycosciences.de","80"
"56","G71142DF","93934","glycosciences.de","126"
"56","G71142DF","10114","glycosciences.de","126"
"56","G71142DF","10090","glycosciences.de","126"
"56","G71142DF","10029","glycosciences.de","126"
"56","G71142DF","10026","glycosciences.de","126"
"56","G71142DF","9986","glycosciences.de","126"
"56","G71142DF","9913","glycosciences.de","126"
"56","G71142DF","9823","glycosciences.de","126"
"56","G71142DF","9615","glycosciences.de","126"
"56","G71142DF","9606","glycosciences.de","126"
"56","G71142DF","9376","glycosciences.de","126"
"56","G71142DF","7705","glycosciences.de","126"
"56","G71142DF","7625","glycosciences.de","126"
"56","G71142DF","7553","glycosciences.de","126"
"56","G71142DF","6544","glycosciences.de","126"
"56","G71142DF","4682","glycosciences.de","126"
"56","G71142DF","4565","glycosciences.de","126"
"56","G71142DF","4410","glycosciences.de","126"
"56","G71142DF","3847","glycosciences.de","126"
"115","G65889KE","93934","glycosciences.de","128"
"115","G65889KE","10114","glycosciences.de","128"
"115","G65889KE","10090","glycosciences.de","128"
"115","G65889KE","10026","glycosciences.de","128"
"115","G65889KE","9986","glycosciences.de","128"
"115","G65889KE","9913","glycosciences.de","128"
"115","G65889KE","9823","glycosciences.de","128"
"115","G65889KE","9615","glycosciences.de","128"
"115","G65889KE","9606","glycosciences.de","128"
"115","G65889KE","9376","glycosciences.de","128"
"115","G65889KE","9031","glycosciences.de","128"
"115","G65889KE","6544","glycosciences.de","128"
"115","G65889KE","6211","glycosciences.de","128"
"117","G72548RZ","10114","glycosciences.de","133"
"117","G72548RZ","10090","glycosciences.de","133"
"117","G72548RZ","9986","glycosciences.de","133"
"117","G72548RZ","9940","glycosciences.de","133"
"117","G72548RZ","9913","glycosciences.de","133"
"117","G72548RZ","9823","glycosciences.de","133"
"117","G72548RZ","9606","glycosciences.de","133"
"117","G72548RZ","9031","glycosciences.de","133"
"117","G72548RZ","8399","glycosciences.de","133"
"118","G84224TW","93934","glycosciences.de","134"
"118","G84224TW","10114","glycosciences.de","134"
"118","G84224TW","10090","glycosciences.de","134"
"118","G84224TW","10029","glycosciences.de","134"
"118","G84224TW","9986","glycosciences.de","134"
"118","G84224TW","9913","glycosciences.de","134"
"118","G84224TW","9823","glycosciences.de","134"
"118","G84224TW","9685","glycosciences.de","134"
"118","G84224TW","9615","glycosciences.de","134"
"118","G84224TW","9606","glycosciences.de","134"
"118","G84224TW","9544","glycosciences.de","134"
"118","G84224TW","9031","glycosciences.de","134"
"118","G84224TW","7588","glycosciences.de","134"
"119","G21073BE","4501","glycosciences.de","137"
"119","G21073BE","3917","glycosciences.de","137"
"119","G21073BE","3864","glycosciences.de","137"
"119","G21073BE","3847","glycosciences.de","137"
"119","G21073BE","3656","glycosciences.de","137"
"119","G21073BE","3650","glycosciences.de","137"
"120","G00059MO","93934","glycosciences.de","138"
"120","G00059MO","60711","glycosciences.de","138"
"120","G00059MO","10114","glycosciences.de","138"
"120","G00059MO","10090","glycosciences.de","138"
"120","G00059MO","10026","glycosciences.de","138"
"120","G00059MO","9986","glycosciences.de","138"
"120","G00059MO","9940","glycosciences.de","138"
"120","G00059MO","9913","glycosciences.de","138"
"120","G00059MO","9823","glycosciences.de","138"
"120","G00059MO","9615","glycosciences.de","138"
"120","G00059MO","9606","glycosciences.de","138"
"120","G00059MO","9544","glycosciences.de","138"
"120","G00059MO","9542","glycosciences.de","138"
"120","G00059MO","9031","glycosciences.de","138"
"121","G40178VU","4520","glycosciences.de","139"
"121","G40178VU","4501","glycosciences.de","139"
"121","G40178VU","3917","glycosciences.de","139"
"121","G40178VU","3864","glycosciences.de","139"
"121","G40178VU","3847","glycosciences.de","139"
"121","G40178VU","3650","glycosciences.de","139"
"121","G40178VU","3333","glycosciences.de","139"
"122","G28329ST","4577","glycosciences.de","140"
"122","G28329ST","4232","glycosciences.de","140"
"122","G28329ST","3504","glycosciences.de","140"
"122","G28329ST","3503","glycosciences.de","140"
"122","G28329ST","3367","glycosciences.de","140"
"122","G28329ST","3328","glycosciences.de","140"
"124","G48558GR","10150","glycosciences.de","142"
"124","G48558GR","10141","glycosciences.de","142"
"124","G48558GR","10114","glycosciences.de","142"
"124","G48558GR","10090","glycosciences.de","142"
"124","G48558GR","10029","glycosciences.de","142"
"124","G48558GR","10026","glycosciences.de","142"
"124","G48558GR","9986","glycosciences.de","142"
"124","G48558GR","9940","glycosciences.de","142"
"124","G48558GR","9913","glycosciences.de","142"
"124","G48558GR","9823","glycosciences.de","142"
"124","G48558GR","9739","glycosciences.de","142"
"124","G48558GR","9685","glycosciences.de","142"
"124","G48558GR","9606","glycosciences.de","142"
"124","G48558GR","9557","glycosciences.de","142"
"124","G48558GR","9544","glycosciences.de","142"
"124","G48558GR","9542","glycosciences.de","142"
"124","G48558GR","9376","glycosciences.de","142"
"124","G48558GR","9031","glycosciences.de","142"
"124","G48558GR","8113","glycosciences.de","142"
"124","G48558GR","7957","glycosciences.de","142"
"125","G39133HC","10114","glycosciences.de","143"
"125","G39133HC","10090","glycosciences.de","143"
"125","G39133HC","9913","glycosciences.de","143"
"125","G39133HC","9606","glycosciences.de","143"
"125","G39133HC","8976","glycosciences.de","143"
"126","G00049MO","9940","glycosciences.de","146"
"126","G00049MO","9823","glycosciences.de","146"
"126","G00049MO","9606","glycosciences.de","146"
"127","G61459JW","10114","glycosciences.de","147"
"127","G61459JW","9986","glycosciences.de","147"
"127","G61459JW","9606","glycosciences.de","147"
"128","G17108EX","9606","glycosciences.de","148"
"129","G00054MO","10090","glycosciences.de","149"
"129","G00054MO","10029","glycosciences.de","149"
"129","G00054MO","9606","glycosciences.de","149"
"129","G00054MO","9544","glycosciences.de","149"
"129","G00054MO","9031","glycosciences.de","149"
"130","G00053MO","10090","glycosciences.de","150"
"130","G00053MO","9606","glycosciences.de","150"
"132","G98544DH","10150","glycosciences.de","153"
"132","G98544DH","10141","glycosciences.de","153"
"132","G98544DH","10114","glycosciences.de","153"
"132","G98544DH","10090","glycosciences.de","153"
"132","G98544DH","10026","glycosciences.de","153"
"132","G98544DH","9986","glycosciences.de","153"
"132","G98544DH","9913","glycosciences.de","153"
"132","G98544DH","9823","glycosciences.de","153"
"132","G98544DH","9685","glycosciences.de","153"
"132","G98544DH","9615","glycosciences.de","153"
"132","G98544DH","9606","glycosciences.de","153"
"132","G98544DH","9557","glycosciences.de","153"
"132","G98544DH","9544","glycosciences.de","153"
"132","G98544DH","9542","glycosciences.de","153"
"132","G98544DH","9031","glycosciences.de","153"
"132","G98544DH","8976","glycosciences.de","153"
"132","G98544DH","7957","glycosciences.de","153"
"133","G90562PB","93934","glycosciences.de","154"
"133","G90562PB","10141","glycosciences.de","154"
"133","G90562PB","10114","glycosciences.de","154"
"133","G90562PB","10090","glycosciences.de","154"
"133","G90562PB","10029","glycosciences.de","154"
"133","G90562PB","9606","glycosciences.de","154"
"133","G90562PB","9542","glycosciences.de","154"
"133","G90562PB","9376","glycosciences.de","154"
"133","G90562PB","6544","glycosciences.de","154"
"139","G11890NV","4565","glycosciences.de","161"
"140","G79389NT","58319","glycosciences.de","162"
"140","G79389NT","30475","glycosciences.de","162"
"140","G79389NT","10114","glycosciences.de","162"
"140","G79389NT","10090","glycosciences.de","162"
"140","G79389NT","10029","glycosciences.de","162"
"140","G79389NT","10026","glycosciences.de","162"
"140","G79389NT","9986","glycosciences.de","162"
"140","G79389NT","9913","glycosciences.de","162"
"140","G79389NT","9823","glycosciences.de","162"
"140","G79389NT","9685","glycosciences.de","162"
"140","G79389NT","9606","glycosciences.de","162"
"140","G79389NT","9557","glycosciences.de","162"
"140","G79389NT","9031","glycosciences.de","162"
"140","G79389NT","8113","glycosciences.de","162"
"140","G79389NT","8022","glycosciences.de","162"
"140","G79389NT","7957","glycosciences.de","162"
"141","G18625KA","10150","glycosciences.de","163"
"141","G18625KA","10114","glycosciences.de","163"
"141","G18625KA","10090","glycosciences.de","163"
"141","G18625KA","10026","glycosciences.de","163"
"141","G18625KA","9913","glycosciences.de","163"
"141","G18625KA","9823","glycosciences.de","163"
"141","G18625KA","9739","glycosciences.de","163"
"141","G18625KA","9685","glycosciences.de","163"
"141","G18625KA","9606","glycosciences.de","163"
"141","G18625KA","9031","glycosciences.de","163"
"141","G18625KA","7957","glycosciences.de","163"
"142","G99524KA","10114","glycosciences.de","164"
"142","G99524KA","9606","glycosciences.de","164"
"142","G99524KA","9031","glycosciences.de","164"
"142","G99524KA","8113","glycosciences.de","164"
"143","G91532KA","10114","glycosciences.de","165"
"143","G91532KA","9913","glycosciences.de","165"
"143","G91532KA","9823","glycosciences.de","165"
"143","G91532KA","9821","glycosciences.de","165"
"143","G91532KA","9606","glycosciences.de","165"
"143","G91532KA","9031","glycosciences.de","165"
"144","G91560NT","10029","glycosciences.de","166"
"144","G91560NT","9606","glycosciences.de","166"
"145","G02657AK","10141","glycosciences.de","167"
"145","G02657AK","10114","glycosciences.de","167"
"145","G02657AK","10029","glycosciences.de","167"
"145","G02657AK","10026","glycosciences.de","167"
"145","G02657AK","9913","glycosciences.de","167"
"145","G02657AK","9823","glycosciences.de","167"
"145","G02657AK","9615","glycosciences.de","167"
"145","G02657AK","9606","glycosciences.de","167"
"145","G02657AK","9031","glycosciences.de","167"
"145","G02657AK","7957","glycosciences.de","167"
"146","G91237TK","10150","glycosciences.de","168"
"146","G91237TK","10141","glycosciences.de","168"
"146","G91237TK","10114","glycosciences.de","168"
"146","G91237TK","10090","glycosciences.de","168"
"146","G91237TK","10029","glycosciences.de","168"
"146","G91237TK","10026","glycosciences.de","168"
"146","G91237TK","9986","glycosciences.de","168"
"146","G91237TK","9940","glycosciences.de","168"
"146","G91237TK","9913","glycosciences.de","168"
"146","G91237TK","9823","glycosciences.de","168"
"146","G91237TK","9685","glycosciences.de","168"
"146","G91237TK","9615","glycosciences.de","168"
"146","G91237TK","9606","glycosciences.de","168"
"146","G91237TK","9557","glycosciences.de","168"
"146","G91237TK","9544","glycosciences.de","168"
"146","G91237TK","9031","glycosciences.de","168"
"146","G91237TK","8022","glycosciences.de","168"
"146","G91237TK","7957","glycosciences.de","168"
"147","G40183QN","30475","glycosciences.de","169"
